S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,ROCE %,Sales Rs.Cr.,OPM %,Debt / Eq,EPS 12M Rs.,Prom. Hold. %,Free Cash Flow 3Yrs Rs.Cr.,CF Opr 3Yrs Rs.Cr.,Ind PE,Chg in FII Hold %,Chg in DII Hold %,WC Days,Cash Cycle,Mar Cap Rs.Cr._num,P/E_num,Ind PE_num,ROCE %_num,Sales Rs.Cr._num,OPM %_num,Debt / Eq_num,EPS 12M Rs._num,Prom. Hold. %_num,Free Cash Flow 3Yrs Rs.Cr._num,CF Opr 3Yrs Rs.Cr._num,Chg in FII Hold %_num,Chg in DII Hold %_num,WC Days_num,Cash Cycle_num,sc_roce,sc_fcf3,sc_debteq,sc_valuation,sc_cfop3,sc_opm,sc_prom,sc_wceff,investment_score,rank
29,Benares Hotels,9329.1,28.03,1212.78,37.33,136.9,42.86,0.02,332.85,62.58,80.21,110.22,34.4,0.0,0.0,-0.05,10.89,1212.78,28.03,34.4,37.33,136.9,42.86,0.02,332.85,62.58,80.21,110.22,0.0,0.0,-0.05,10.89,0.49394797208258123,0.11168144545536213,0.954233409610984,0.7273334661233147,0.09559602014574088,0.8109867054869315,0.47213951509995755,0.6344851510828449,0.49872059206171043,30
61,Newgen Software,947.95,41.03,13491.01,27.97,1532.45,25.64,0.03,23.27,53.76,579.33,632.74,27.65,-1.52,0.12,71.6,136.65,13491.01,41.03,27.65,27.97,1532.45,25.64,0.03,23.27,53.76,579.33,632.74,-1.52,0.12,71.6,136.65,0.26553272487676327,0.8233446402117086,0.931350114416476,0.3044500838082177,0.5656153329273481,0.4423369227805021,0.09698000850701835,0.33163711037302934,0.4967452853922541,31
59,Nicco Parks,94.49,26.88,442.21,28.15,76.56,29.94,0.0,2.24,69.38,45.3,62.67,35.24,0.0,0.0,-76.0,-216.17,442.21,26.88,35.24,28.15,76.56,29.94,0.0,2.24,69.38,45.3,62.67,0.0,0.0,-76.0,-216.17,0.26992532578456746,0.06190551556085969,1.0,0.760234771241617,0.052823651006252595,0.5343923272890762,0.7613781369629945,0.9955015671611163,0.4885053851450972,32
6,Network People,1770.0,94.08,3432.96,69.23,147.96,32.64,0.09,18.82,64.79,84.33,103.93,33.8,0.09,2.66,-3.1,67.1,3432.96,94.08,33.8,69.23,147.96,32.64,0.09,18.82,64.79,84.33,103.93,0.09,2.66,-3.1,67.1,1.0,0.11755588920114701,0.7940503432494279,0.0,0.08993801379690006,0.592194558027018,0.5661420672054449,0.5808849315735912,0.486569312443875,33
69,Dodla Dairy,1199.2,27.82,7234.51,26.55,3836.53,9.25,0.04,43.11,58.92,363.33,679.87,27.47,-1.12,2.28,-5.59,2.05,7234.51,27.82,27.47,26.55,3836.53,9.25,0.04,43.11,58.92,363.33,679.87,-1.12,2.28,-5.59,2.05,0.2308799843818636,0.5153640943161908,0.9084668192219679,0.6022435424136849,0.6080099019608725,0.09145597396758806,0.3164610803913231,0.6569468992121474,0.48463152839741047,34
8,One Global Serv,403.05,29.88,787.68,56.38,196.07,18.23,0.0,37.4,66.24,15.52,15.8,36.39,-9.54,0.0,58.7,134.29,787.68,29.88,36.39,56.38,196.07,18.23,0.0,37.4,66.24,15.52,15.8,-9.54,0.0,58.7,134.29,0.9588315681585248,0.019444123631375813,1.0,0.7233648330780982,0.010662958228801141,0.2837019117552615,0.6278179498085921,0.3642566733227862,0.48345750715304375,35
10,Jyoti Resins,1219.8,20.19,1463.76,49.98,290.05,29.89,0.0,60.43,53.89,36.22,42.41,31.56,-0.04,-0.27,30.73,122.37,1463.76,20.19,31.56,49.98,290.05,29.89,0.0,60.43,53.89,36.22,42.41,-0.04,-0.27,30.73,122.37,0.802650202547709,0.048958925946362926,1.0,0.8379978783991721,0.034599293513801845,0.533321915608744,0.10250957039557651,0.44233059469842684,0.4823888021755291,36
30,Amal,711.4,22.68,879.48,36.32,186.06,27.47,0.0,31.37,71.35,32.3,60.45,31.56,0.0,0.0,-11.01,-8.61,879.48,22.68,31.56,36.32,186.06,27.47,0.0,31.37,71.35,32.3,60.45,0.0,0.0,-11.01,-8.61,0.4693006003221244,0.04336964937270353,1.0,0.7881318622747682,0.050826707589014655,0.4815139902806626,0.8451722671203743,0.6810946222860137,0.4790041126523309,37
22,Evans Electric,160.0,12.8,87.81,40.82,25.48,37.52,0.0,13.79,59.44,9.49,10.58,22.31,0.0,0.0,138.95,-265.18,87.81,12.8,22.31,40.82,25.48,37.52,0.0,13.79,59.44,9.49,10.58,0.0,0.0,138.95,-265.18,0.5791156230172292,0.010846333391792608,1.0,0.8797123588888682,0.005967442626106527,0.6966667380274465,0.3385793279455552,0.5602042005641155,0.47718664171794156,38
44,Alldigi Tech,875.45,18.44,1334.04,31.36,576.89,24.3,0.24,47.07,73.39,230.2,280.57,35.28,0.55,0.01,12.32,48.02,1334.04,18.44,35.28,31.36,576.89,24.3,0.24,47.07,73.39,230.2,280.57,0.55,0.01,12.32,48.02,0.3482600419737422,0.3255425661908654,0.45080091533180766,0.9119828997817909,0.24882994407658904,0.41364988974759753,0.9319438536792857,0.5655475043956959,0.4687162048700187,39
